city,country,date,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-03-30,12.78,11.94,4.65,12.98,overcast clouds,1005,70,3.32,318,49.2497,-123.1193
Vancouver,CA,2025-03-31,10.08,8.95,6.56,10.14,moderate rain,1006,69,6.32,130,49.2497,-123.1193
Vancouver,CA,2025-04-01,8.07,7.41,6.7,10.02,overcast clouds,1009,81,3.54,84,49.2497,-123.1193
Vancouver,CA,2025-04-02,7.19,5.61,5.99,8.36,light rain,1014,82,4.26,83,49.2497,-123.1193
Vancouver,CA,2025-04-03,9.38,8.29,4.95,9.82,scattered clouds,1021,69,2.25,247,49.2497,-123.1193
Vancouver,CA,2025-04-04,11.14,9.98,6.44,11.23,overcast clouds,1027,64,2.35,268,49.2497,-123.1193
Vancouver,CA,2025-04-05,13.66,12.57,8.03,14.36,sky is clear,1031,57,2.78,283,49.2497,-123.1193
Vancouver,CA,2025-04-06,14.57,13.6,9.26,15.44,sky is clear,1025,58,2.04,254,49.2497,-123.1193
Vancouver,CA,2025-04-07,15.93,15.15,10.19,17.11,sky is clear,1018,60,2.59,155,49.2497,-123.1193
Vancouver,CA,2025-04-08,14.78,13.83,10.4,14.78,overcast clouds,1018,58,2.89,116,49.2497,-123.1193
Vancouver,CA,2025-04-09,13.76,12.89,10.06,13.76,overcast clouds,1021,65,3.13,135,49.2497,-123.1193
Vancouver,CA,2025-04-10,14.12,13.31,11.62,14.81,overcast clouds,1026,66,2.32,259,49.2497,-123.1193
Vancouver,CA,2025-04-11,16.14,15.4,10.84,17.03,overcast clouds,1018,61,3.16,88,49.2497,-123.1193
Vancouver,CA,2025-04-12,15.02,14.25,12.37,15.02,overcast clouds,1020,64,4.89,106,49.2497,-123.1193
Victoria,CA,2025-03-30,10.34,9.52,5.39,11.19,overcast clouds,1005,80,5.51,88,48.4329,-123.3693
Victoria,CA,2025-03-31,8.93,8.93,5.73,9.75,light rain,1006,79,5.2,250,48.4329,-123.3693
Victoria,CA,2025-04-01,10.93,9.78,5.1,11.22,overcast clouds,1009,65,8.36,267,48.4329,-123.3693
Victoria,CA,2025-04-02,9.26,7.46,5.38,9.26,light rain,1014,67,4.81,243,48.4329,-123.3693
Victoria,CA,2025-04-03,9.47,9.12,5,10.3,scattered clouds,1021,68,2.32,281,48.4329,-123.3693
Victoria,CA,2025-04-04,11.28,10.11,5.9,11.36,overcast clouds,1027,63,2.15,78,48.4329,-123.3693
Victoria,CA,2025-04-05,13.25,12.22,6.78,13.25,sky is clear,1031,61,2.69,42,48.4329,-123.3693
Victoria,CA,2025-04-06,13.89,13.01,7.77,14.53,sky is clear,1025,64,2.59,61,48.4329,-123.3693
Victoria,CA,2025-04-07,15.25,14.45,9,16.36,sky is clear,1018,62,5.17,239,48.4329,-123.3693
Victoria,CA,2025-04-08,13.43,12.66,9.61,13.43,overcast clouds,1018,70,3.07,255,48.4329,-123.3693
Victoria,CA,2025-04-09,13.78,13.09,8.73,14.04,overcast clouds,1021,72,3.05,264,48.4329,-123.3693
Victoria,CA,2025-04-10,14.09,13.41,9.52,14.09,overcast clouds,1026,71,2.15,260,48.4329,-123.3693
Victoria,CA,2025-04-11,14.9,14.2,9.44,15.58,overcast clouds,1018,67,5.52,255,48.4329,-123.3693
Victoria,CA,2025-04-12,15.54,14.85,11.15,15.54,light rain,1019,65,4.32,238,48.4329,-123.3693
Calgary,CA,2025-03-30,-0.6,-5.37,-5.5,1.02,few clouds,1017,81,5.54,150,51.0501,-114.0853
Calgary,CA,2025-03-31,3.8,0.23,-2.57,5.99,overcast clouds,1003,57,4.85,149,51.0501,-114.0853
Calgary,CA,2025-04-01,3.71,2.53,-0.72,5.86,snow,1001,70,6.21,13,51.0501,-114.0853
Calgary,CA,2025-04-02,-0.88,-3.07,-3.98,1.01,snow,1013,77,4.21,348,51.0501,-114.0853
Calgary,CA,2025-04-03,2.56,1.04,-1.85,3.91,rain and snow,1019,56,2.59,62,51.0501,-114.0853
Calgary,CA,2025-04-04,4.86,2.08,-1.58,9.19,broken clouds,1026,55,3.73,176,51.0501,-114.0853
Calgary,CA,2025-04-05,8.52,7.64,1.12,12.81,overcast clouds,1028,41,2.93,291,51.0501,-114.0853
Calgary,CA,2025-04-06,11.25,9.47,3.15,16.63,scattered clouds,1025,40,3.72,172,51.0501,-114.0853
Calgary,CA,2025-04-07,14.97,13.36,4.98,20.21,sky is clear,1011,32,3.47,279,51.0501,-114.0853
Calgary,CA,2025-04-08,16.49,15.06,6.94,19.54,broken clouds,1011,33,3.52,293,51.0501,-114.0853
Calgary,CA,2025-04-09,14.58,13.29,8.64,18.33,scattered clouds,1016,46,2.73,322,51.0501,-114.0853
Calgary,CA,2025-04-10,13.71,12.6,6.8,17.52,broken clouds,1021,56,4.01,145,51.0501,-114.0853
Calgary,CA,2025-04-11,17.74,16.59,8.6,21.54,broken clouds,1017,39,3.14,142,51.0501,-114.0853
Calgary,CA,2025-04-12,10.15,8.4,8.71,14.29,overcast clouds,1021,45,5.66,109,51.0501,-114.0853
Edmonton,CA,2025-03-30,-0.92,-5.17,-12.64,-0.07,broken clouds,1021,67,4.13,150,53.5501,-113.4687
Edmonton,CA,2025-03-31,-0.72,-5.47,-8.68,0.01,overcast clouds,1009,87,4.44,133,53.5501,-113.4687
Edmonton,CA,2025-04-01,0.05,-2.53,-6.18,0.92,light snow,1005,91,4.54,351,53.5501,-113.4687
Edmonton,CA,2025-04-02,-0.86,-4.61,-5.72,0.68,sky is clear,1014,59,4.82,348,53.5501,-113.4687
Edmonton,CA,2025-04-03,0.11,-4.46,-3.21,1.63,broken clouds,1021,69,4.73,350,53.5501,-113.4687
Edmonton,CA,2025-04-04,2.31,-1.18,-3.67,4.63,broken clouds,1028,71,3.66,165,53.5501,-113.4687
Edmonton,CA,2025-04-05,5.77,4.94,0.85,8.86,overcast clouds,1030,72,2.9,278,53.5501,-113.4687
Edmonton,CA,2025-04-06,7.86,5.52,1.43,11.45,overcast clouds,1027,70,3.86,166,53.5501,-113.4687
Edmonton,CA,2025-04-07,13.74,12.42,4.95,18.52,sky is clear,1010,48,3.27,241,53.5501,-113.4687
Edmonton,CA,2025-04-08,15.08,13.77,7.16,16.97,sky is clear,1012,43,3.55,2,53.5501,-113.4687
Edmonton,CA,2025-04-09,8.05,5.6,6.23,10.09,light rain,1021,84,4.7,121,53.5501,-113.4687
Edmonton,CA,2025-04-10,10.5,9.41,3.88,15.93,overcast clouds,1023,69,3.42,143,53.5501,-113.4687
Edmonton,CA,2025-04-11,15.3,14.4,7.96,17.86,scattered clouds,1018,58,3.6,358,53.5501,-113.4687
Edmonton,CA,2025-04-12,9.26,8.53,7.96,9.98,overcast clouds,1025,56,3.42,121,53.5501,-113.4687
Regina,CA,2025-03-30,-5.72,-8.5,-10.25,-5.08,overcast clouds,1023,79,2.79,343,50.4501,-104.6178
Regina,CA,2025-03-31,-5.51,-12.48,-12.17,-3.53,few clouds,1019,89,7.49,105,50.4501,-104.6178
Regina,CA,2025-04-01,-1.75,-8.15,-6.3,-0.49,overcast clouds,1008,88,7.7,115,50.4501,-104.6178
Regina,CA,2025-04-02,-1.12,-5.48,-7.77,-0.89,overcast clouds,1009,92,5.1,332,50.4501,-104.6178
Regina,CA,2025-04-03,-4.87,-8.19,-12.91,-2.36,scattered clouds,1022,83,4.14,301,50.4501,-104.6178
Regina,CA,2025-04-04,-3.97,-8.71,-11.57,-2.42,scattered clouds,1034,88,3.82,319,50.4501,-104.6178
Regina,CA,2025-04-05,1.19,-3.62,-7.6,1.19,overcast clouds,1026,96,7.15,340,50.4501,-104.6178
Regina,CA,2025-04-06,-6.72,-10.93,-10.17,-4.8,broken clouds,1039,73,4.04,347,50.4501,-104.6178
Regina,CA,2025-04-07,0.8,-3.61,-8.55,3.09,broken clouds,1019,74,5.04,149,50.4501,-104.6178
Regina,CA,2025-04-08,5,3.54,-2.18,6.83,sky is clear,1013,86,2.7,118,50.4501,-104.6178
Regina,CA,2025-04-09,4.13,0.96,-0.09,6.04,overcast clouds,1023,86,3.8,9,50.4501,-104.6178
Regina,CA,2025-04-10,5.55,2.25,0.71,7.21,light rain,1027,69,4.53,90,50.4501,-104.6178
Regina,CA,2025-04-11,12.65,11.22,1.24,17.3,few clouds,1023,48,5.01,176,50.4501,-104.6178
Regina,CA,2025-04-12,10.8,9.16,6.29,12.42,broken clouds,1020,47,7.02,349,50.4501,-104.6178
Saskatoon,CA,2025-03-30,-6.76,-6.76,-18.21,-5.25,overcast clouds,1027,82,2.12,163,52.1168,-106.6345
Saskatoon,CA,2025-03-31,-5.86,-12.73,-18.54,-4.55,scattered clouds,1018,86,6.36,119,52.1168,-106.6345
Saskatoon,CA,2025-04-01,-2.13,-8.13,-8.72,-1.17,light snow,1008,87,6.15,134,52.1168,-106.6345
Saskatoon,CA,2025-04-02,-0.7,-5.87,-10.53,-0.64,overcast clouds,1010,94,6.13,306,52.1168,-106.6345
Saskatoon,CA,2025-04-03,-2.49,-7.81,-15.93,-0.71,light snow,1019,84,5.36,298,52.1168,-106.6345
Saskatoon,CA,2025-04-04,-4.33,-8.01,-13.51,-2.61,scattered clouds,1034,79,3.13,196,52.1168,-106.6345
Saskatoon,CA,2025-04-05,0.44,-4.24,-6.47,1.11,overcast clouds,1028,100,4.79,310,52.1168,-106.6345
Saskatoon,CA,2025-04-06,-5.46,-9.18,-11.96,-3.91,broken clouds,1038,79,3.84,138,52.1168,-106.6345
Saskatoon,CA,2025-04-07,0.61,-2.19,-8.38,2.41,broken clouds,1017,97,3.59,153,52.1168,-106.6345
Saskatoon,CA,2025-04-08,3.38,1.75,-3.15,6.99,overcast clouds,1014,94,2.35,293,52.1168,-106.6345
Saskatoon,CA,2025-04-09,2.9,-0.51,1.02,4.05,overcast clouds,1025,89,4.46,47,52.1168,-106.6345
Saskatoon,CA,2025-04-10,4.85,1.39,-0.06,6.35,overcast clouds,1029,69,4.52,91,52.1168,-106.6345
Saskatoon,CA,2025-04-11,13.49,12.33,1.29,17.91,scattered clouds,1021,55,3.7,236,52.1168,-106.6345
Saskatoon,CA,2025-04-12,10.75,9.21,5.51,11.63,overcast clouds,1022,51,6.23,1,52.1168,-106.6345
Winnipeg,CA,2025-03-30,0.56,-3.94,-4.47,1.44,overcast clouds,1021,57,5.72,4,49.8844,-97.147
Winnipeg,CA,2025-03-31,-1.24,-5.85,-5.34,-0.24,sky is clear,1023,39,4.56,41,49.8844,-97.147
Winnipeg,CA,2025-04-01,1.33,-3.74,-5.43,3.9,overcast clouds,1016,41,6.42,115,49.8844,-97.147
Winnipeg,CA,2025-04-02,3.01,-1.76,-2.87,3.94,light snow,1004,55,6.75,51,49.8844,-97.147
Winnipeg,CA,2025-04-03,2.4,-1.71,-2.07,2.4,broken clouds,1016,70,5.77,305,49.8844,-97.147
Winnipeg,CA,2025-04-04,1.08,-3.12,-2.28,2.47,light snow,1027,84,6.77,315,49.8844,-97.147
Winnipeg,CA,2025-04-05,4.56,0.46,-2.44,4.56,light snow,1023,44,9.31,347,49.8844,-97.147
Winnipeg,CA,2025-04-06,-4.96,-11.96,-8.72,-3.71,overcast clouds,1031,42,9.35,339,49.8844,-97.147
Winnipeg,CA,2025-04-07,-4.36,-7.97,-8.32,-2.5,overcast clouds,1026,41,4.53,2,49.8844,-97.147
Winnipeg,CA,2025-04-08,1.87,-1.55,-5.8,4.69,scattered clouds,1021,34,3.71,133,49.8844,-97.147
Winnipeg,CA,2025-04-09,7.14,3.61,-0.29,7.43,scattered clouds,1017,61,7.08,347,49.8844,-97.147
Winnipeg,CA,2025-04-10,4.17,-0.26,-0.49,5.58,overcast clouds,1026,46,6.95,354,49.8844,-97.147
Winnipeg,CA,2025-04-11,5.92,3.31,-2.82,11.25,scattered clouds,1029,36,4.5,236,49.8844,-97.147
Winnipeg,CA,2025-04-12,8.47,4.57,3.93,9.79,broken clouds,1013,62,8.43,335,49.8844,-97.147
Toronto,CA,2025-03-30,11.8,11.49,3.41,13.91,light rain,1011,94,4.56,90,43.7001,-79.4163
Toronto,CA,2025-03-31,9.24,5.98,0.96,11.69,moderate rain,1003,68,6.93,280,43.7001,-79.4163
Toronto,CA,2025-04-01,1.43,-2.28,-1.99,3.46,sky is clear,1023,27,4.73,336,43.7001,-79.4163
Toronto,CA,2025-04-02,-0.11,-6.53,-0.55,3.15,rain and snow,1021,81,9.3,83,43.7001,-79.4163
Toronto,CA,2025-04-03,19.46,18.56,6.93,19.46,moderate rain,1009,42,6.93,237,43.7001,-79.4163
Toronto,CA,2025-04-04,10.23,8.43,3.46,11.18,broken clouds,1024,43,3.66,1,43.7001,-79.4163
Toronto,CA,2025-04-05,8.4,8.4,2.89,8.98,overcast clouds,1023,48,3.08,358,43.7001,-79.4163
Toronto,CA,2025-04-06,7.66,5.72,2.94,7.67,overcast clouds,1008,57,4.64,291,43.7001,-79.4163
Toronto,CA,2025-04-07,4.02,0.3,-1.82,4.02,light snow,999,34,6.91,314,43.7001,-79.4163
Toronto,CA,2025-04-08,-1.1,-7.2,-3.6,-0.45,light snow,1008,41,6.74,285,43.7001,-79.4163
Toronto,CA,2025-04-09,3.47,-1.71,-2.18,4.17,light rain,1014,42,8.01,280,43.7001,-79.4163
Toronto,CA,2025-04-10,3.87,1.83,0.03,4.4,rain and snow,1011,90,3.77,259,43.7001,-79.4163
Toronto,CA,2025-04-11,4.91,0.93,0.07,4.91,broken clouds,1014,41,6.23,302,43.7001,-79.4163
Toronto,CA,2025-04-12,9.11,6.43,-0.15,9.41,light rain,1013,37,6.73,247,43.7001,-79.4163
Ottawa,CA,2025-03-30,-0.43,-5.42,-2.44,1.32,rain and snow,1017,96,5.33,62,45.4112,-75.6981
Ottawa,CA,2025-03-31,5.77,2.98,-0.68,6.77,heavy intensity rain,997,100,7.02,297,45.4112,-75.6981
Ottawa,CA,2025-04-01,-0.9,-6.52,-5.26,0.43,broken clouds,1021,52,6.29,316,45.4112,-75.6981
Ottawa,CA,2025-04-02,-0.89,-6.71,-5.67,-0.03,snow,1030,38,8.16,99,45.4112,-75.6981
Ottawa,CA,2025-04-03,7.74,7.04,0.02,11.29,rain and snow,1008,97,7.02,101,45.4112,-75.6981
Ottawa,CA,2025-04-04,5.67,2.67,-0.38,5.67,broken clouds,1023,72,4.08,300,45.4112,-75.6981
Ottawa,CA,2025-04-05,5.11,2.56,0.04,5.11,overcast clouds,1024,68,3.11,296,45.4112,-75.6981
Ottawa,CA,2025-04-06,7.51,6.44,-0.99,8.31,overcast clouds,1009,57,3.61,110,45.4112,-75.6981
Ottawa,CA,2025-04-07,5.95,2.17,-2.5,6.3,rain and snow,996,40,6.7,257,45.4112,-75.6981
Ottawa,CA,2025-04-08,1.71,-4.03,-4.96,1.71,light snow,1000,36,7.8,269,45.4112,-75.6981
Ottawa,CA,2025-04-09,0.94,-5.17,-3.56,1.91,light snow,1006,56,8.17,289,45.4112,-75.6981
Ottawa,CA,2025-04-10,6.52,3.31,-1.58,6.62,light rain,1008,39,5.61,267,45.4112,-75.6981
Ottawa,CA,2025-04-11,3.83,-0.76,-2.14,3.83,overcast clouds,1010,46,6.4,291,45.4112,-75.6981
Ottawa,CA,2025-04-12,7.62,4.21,-3.45,7.62,rain and snow,1010,47,6.25,193,45.4112,-75.6981
Montreal,CA,2025-03-30,-1.11,-6.12,-2.69,1.44,rain and snow,1019,96,4.97,41,45.5088,-73.5878
Montreal,CA,2025-03-31,3.4,3.4,1.69,10.19,heavy intensity rain,998,100,6.49,165,45.5088,-73.5878
Montreal,CA,2025-04-01,0.44,-4.57,-3,1.97,overcast clouds,1017,46,6.27,304,45.5088,-73.5878
Montreal,CA,2025-04-02,-1.51,-5.69,-4.76,0.94,snow,1033,27,4.53,71,45.5088,-73.5878
Montreal,CA,2025-04-03,3.55,0.79,0.2,6.7,moderate rain,1008,100,6.75,162,45.5088,-73.5878
Montreal,CA,2025-04-04,5.23,1.99,2.1,6.88,overcast clouds,1022,71,4.74,280,45.5088,-73.5878
Montreal,CA,2025-04-05,5,5,1.73,6.83,overcast clouds,1025,56,3.46,305,45.5088,-73.5878
Montreal,CA,2025-04-06,5.24,3.85,1.65,7.76,light rain,1013,59,5.08,165,45.5088,-73.5878
Montreal,CA,2025-04-07,4.25,0.59,1.21,4.42,rain and snow,998,91,5.7,246,45.5088,-73.5878
Montreal,CA,2025-04-08,-1.34,-7.75,-3.5,2.66,overcast clouds,1000,44,7.29,256,45.5088,-73.5878
Montreal,CA,2025-04-09,-0.44,-6.36,-2.73,2.08,light snow,1003,63,6.9,259,45.5088,-73.5878
Montreal,CA,2025-04-10,2.22,-2.45,-0.67,6.2,overcast clouds,1010,55,5.61,252,45.5088,-73.5878
Montreal,CA,2025-04-11,4.15,0.43,-0.07,5.12,overcast clouds,1009,49,5.28,268,45.5088,-73.5878
Montreal,CA,2025-04-12,3.39,-0.84,-1.1,7.92,light rain,1013,44,6.06,236,45.5088,-73.5878
Québec,CA,2025-03-30,-0.39,-5.97,-5.46,0.25,snow,1024,69,6.91,76,46.8123,-71.2145
Québec,CA,2025-03-31,1.21,-2.81,-0.98,3.57,rain and snow,998,100,6.34,64,46.8123,-71.2145
Québec,CA,2025-04-01,-0.03,-5.34,-5.96,1.7,overcast clouds,1012,68,6.4,290,46.8123,-71.2145
Québec,CA,2025-04-02,-2.94,-6.07,-8.44,-0.67,sky is clear,1033,45,4.64,65,46.8123,-71.2145
Québec,CA,2025-04-03,-0.88,-5.63,-2.92,2.14,snow,1012,97,6.07,68,46.8123,-71.2145
Québec,CA,2025-04-04,2.32,-0.83,0.2,3.52,overcast clouds,1018,100,3.77,278,46.8123,-71.2145
Québec,CA,2025-04-05,2.98,0.96,-2.07,4.1,broken clouds,1025,71,3.38,264,46.8123,-71.2145
Québec,CA,2025-04-06,3.87,0.32,-1.09,4.75,rain and snow,1015,70,5.51,60,46.8123,-71.2145
Québec,CA,2025-04-07,1.88,-1.16,0.58,2.66,rain and snow,1000,99,3.65,104,46.8123,-71.2145
Québec,CA,2025-04-08,-2.12,-8.88,-3.18,0.33,snow,996,84,7.52,238,46.8123,-71.2145
Québec,CA,2025-04-09,-1.59,-7.21,-5.15,0.31,light snow,1001,81,5.54,237,46.8123,-71.2145
Québec,CA,2025-04-10,0.46,-3.94,-2.68,2.41,snow,1007,96,5.76,247,46.8123,-71.2145
Québec,CA,2025-04-11,2.26,-1.04,-1.09,3.77,light snow,1007,85,4.03,272,46.8123,-71.2145
Québec,CA,2025-04-12,1.21,-3.97,-3.06,5.44,snow,1011,50,6.11,264,46.8123,-71.2145
Fredericton,CA,2025-03-30,3.21,1.74,-6.64,4.38,snow,1027,43,3.43,206,45.9454,-66.6656
Fredericton,CA,2025-03-31,2.47,0.05,-1.49,9.37,rain and snow,1006,100,5.68,212,45.9454,-66.6656
Fredericton,CA,2025-04-01,4.71,0.52,-3.63,7.94,moderate rain,1004,73,6.01,308,45.9454,-66.6656
Fredericton,CA,2025-04-02,-0.86,-6.19,-7.65,1.73,sky is clear,1030,34,5.71,306,45.9454,-66.6656
Fredericton,CA,2025-04-03,-1.74,-7.08,-2.93,0.97,rain and snow,1020,95,4.98,135,45.9454,-66.6656
Fredericton,CA,2025-04-04,5.01,2.21,-1.05,7.53,overcast clouds,1016,96,3.99,307,45.9454,-66.6656
Fredericton,CA,2025-04-05,1.83,1.83,0.18,4.07,light snow,1025,87,1.72,167,45.9454,-66.6656
Fredericton,CA,2025-04-06,4.93,4.93,0.59,4.93,rain and snow,1017,76,2.53,140,45.9454,-66.6656
Fredericton,CA,2025-04-07,2.26,-1.12,0.78,2.26,rain and snow,1007,98,4.5,75,45.9454,-66.6656
Fredericton,CA,2025-04-08,4.48,0.28,-3.08,4.48,rain and snow,996,79,5.89,240,45.9454,-66.6656
Fredericton,CA,2025-04-09,1.86,-2.86,-4.26,2.19,light snow,1003,58,5.57,231,45.9454,-66.6656
Fredericton,CA,2025-04-10,3.2,-0.74,-3.55,5.55,rain and snow,1010,53,4.87,244,45.9454,-66.6656
Fredericton,CA,2025-04-11,1.75,-0.25,-1.74,2.31,rain and snow,1007,100,2.25,218,45.9454,-66.6656
Fredericton,CA,2025-04-12,3.46,-0.5,-2.68,5.78,broken clouds,1010,62,4.83,260,45.9454,-66.6656
Saint John,CA,2025-03-30,3.63,1.79,-4.73,3.67,rain and snow,1027,45,3.24,115,45.2727,-66.0677
Saint John,CA,2025-03-31,4.79,2.01,-0.35,7.06,rain and snow,1008,100,7.44,214,45.2727,-66.0677
Saint John,CA,2025-04-01,5.85,1.99,-0.87,6.75,moderate rain,1003,76,5.95,323,45.2727,-66.0677
Saint John,CA,2025-04-02,0.41,-4.41,-6.37,2.84,sky is clear,1030,32,6.6,324,45.2727,-66.0677
Saint John,CA,2025-04-03,-0.83,-6.61,-1.32,4.03,rain and snow,1022,96,6.21,149,45.2727,-66.0677
Saint John,CA,2025-04-04,7.35,4.39,1.06,7.85,light rain,1016,83,4.75,329,45.2727,-66.0677
Saint John,CA,2025-04-05,3.17,1.68,-2.54,3.17,overcast clouds,1025,77,1.77,165,45.2727,-66.0677
Saint John,CA,2025-04-06,2.28,0.74,0.38,3.72,light snow,1017,99,2.46,73,45.2727,-66.0677
Saint John,CA,2025-04-07,1.41,-3.67,0.73,2.63,rain and snow,1006,96,7.28,99,45.2727,-66.0677
Saint John,CA,2025-04-08,5.16,0.86,0.97,5.16,light rain,997,69,6.66,212,45.2727,-66.0677
Saint John,CA,2025-04-09,2.51,-2.62,-0.97,2.92,light snow,1005,49,7.55,217,45.2727,-66.0677
Saint John,CA,2025-04-10,3.77,-0.47,-2.74,4.71,overcast clouds,1011,49,6.75,214,45.2727,-66.0677
Saint John,CA,2025-04-11,3.23,-0.43,0.14,4.72,moderate rain,1006,97,4.88,154,45.2727,-66.0677
Saint John,CA,2025-04-12,4.98,1.41,-1.72,6.98,scattered clouds,1011,56,4.93,252,45.2727,-66.0677
Halifax,CA,2025-03-30,3.72,0.92,-3.68,4.08,snow,1027,45,3.97,196,44.6453,-63.5724
Halifax,CA,2025-03-31,5.63,1.78,-0.05,7.46,rain and snow,1012,99,8.24,218,44.6453,-63.5724
