city,country,date_time,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,lat,lon
Vancouver,CA,2025-03-31 00:00:00,10.69,9.72,10.24,10.69,overcast clouds,999,73,2.37,358,49.2497,-123.1193
Vancouver,CA,2025-03-31 01:00:00,10.22,9.18,9.36,10.22,overcast clouds,999,72,1.74,28,49.2497,-123.1193
Vancouver,CA,2025-03-31 02:00:00,9.49,9.49,8.61,9.49,overcast clouds,999,72,0.63,91,49.2497,-123.1193
Vancouver,CA,2025-03-31 03:00:00,8.5,8.5,7.92,8.5,overcast clouds,1000,74,1.23,173,49.2497,-123.1193
Vancouver,CA,2025-03-31 04:00:00,8.3,7.18,8.3,8.3,overcast clouds,1000,74,2.04,39,49.2497,-123.1193
Vancouver,CA,2025-03-31 05:00:00,8.59,8.59,8.59,8.59,overcast clouds,1000,70,1.21,33,49.2497,-123.1193
Vancouver,CA,2025-03-31 06:00:00,8.99,7.25,8.99,8.99,overcast clouds,1001,72,3.08,129,49.2497,-123.1193
Vancouver,CA,2025-03-31 07:00:00,7.99,4.58,7.99,7.99,moderate rain,1003,87,6.32,130,49.2497,-123.1193
Vancouver,CA,2025-03-31 08:00:00,7.58,4.73,7.58,7.58,moderate rain,1004,88,4.63,125,49.2497,-123.1193
Vancouver,CA,2025-03-31 09:00:00,7.68,4.77,7.68,7.68,light rain,1004,87,4.81,119,49.2497,-123.1193
Vancouver,CA,2025-03-31 10:00:00,7.49,4.71,7.49,7.49,light rain,1004,88,4.42,104,49.2497,-123.1193
Vancouver,CA,2025-03-31 11:00:00,6.56,4.15,6.56,6.56,light rain,1004,89,3.35,105,49.2497,-123.1193
Vancouver,CA,2025-03-31 12:00:00,6.58,4.46,6.58,6.58,moderate rain,1005,91,2.92,140,49.2497,-123.1193
Vancouver,CA,2025-03-31 13:00:00,7.13,5.58,7.13,7.13,moderate rain,1006,90,2.3,162,49.2497,-123.1193
Vancouver,CA,2025-03-31 14:00:00,7.72,7.07,7.72,7.72,light rain,1006,87,1.48,167,49.2497,-123.1193
Vancouver,CA,2025-03-31 15:00:00,9.35,9.06,9.35,9.35,light rain,1006,80,1.36,183,49.2497,-123.1193
Vancouver,CA,2025-03-31 16:00:00,8.68,8.68,8.68,8.68,overcast clouds,1006,75,0.98,151,49.2497,-123.1193
Vancouver,CA,2025-03-31 17:00:00,10.08,8.95,10.08,10.08,overcast clouds,1006,69,1.23,174,49.2497,-123.1193
Vancouver,CA,2025-03-31 18:00:00,10.14,8.96,10.14,10.14,overcast clouds,1005,67,2.14,216,49.2497,-123.1193
Vancouver,CA,2025-03-31 19:00:00,9.74,9.32,9.74,9.74,overcast clouds,1005,67,1.53,223,49.2497,-123.1193
