city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,pressure,humidity,wind_speed,wind_deg,datetimestamp
Vancouver,CA,10.73,9.69,10.13,11.57,few clouds,1016,70,3.13,12,2025-03-29 22:00:00
Vancouver,CA,10.3,9.16,9.43,10.96,few clouds,1016,68,3.09,310,2025-03-29 23:00:00
Vancouver,CA,8.94,7.52,7.64,9.85,few clouds,1016,78,2.57,230,2025-03-30 00:00:00
Vancouver,CA,7.74,7.03,6.83,8.53,few clouds,1017,84,1.54,310,2025-03-30 01:00:00
Vancouver,CA,6.87,5.75,5.68,7.98,few clouds,1017,85,1.79,20,2025-03-30 02:00:00
Vancouver,CA,6.57,4.33,5.41,7.53,few clouds,1016,86,3.09,30,2025-03-30 03:00:00
Vancouver,CA,6.1,4.15,4.86,7.53,few clouds,1015,85,2.57,30,2025-03-30 04:00:00
Vancouver,CA,5.6,4.85,4.57,6.53,few clouds,1015,86,1.34,4,2025-03-30 05:00:00
Vancouver,CA,5.33,4.27,4.3,6.53,few clouds,1014,86,1.54,50,2025-03-30 06:00:00
Vancouver,CA,5.23,4.16,4.01,6.57,scattered clouds,1014,87,1.54,90,2025-03-30 07:00:00
Vancouver,CA,4.41,3.22,3.47,6.27,scattered clouds,1013,88,1.54,330,2025-03-30 08:00:00
Vancouver,CA,4.02,3.06,2.9,5.71,broken clouds,1012,88,1.34,330,2025-03-30 09:00:00
Vancouver,CA,3.72,3.72,2.58,5.71,few clouds,1011,88,1.03,360,2025-03-30 10:00:00
Vancouver,CA,3.57,3.57,2.35,5.71,few clouds,1011,88,1.03,0,2025-03-30 11:00:00
Vancouver,CA,5.08,3.23,3.75,6.27,overcast clouds,1010,88,2.24,85,2025-03-30 12:00:00
Vancouver,CA,6.69,6.08,5.13,9.01,broken clouds,1009,81,1.34,2,2025-03-30 13:00:00
Vancouver,CA,8.05,7.62,6.57,9.6,broken clouds,1009,77,1.34,91,2025-03-30 14:00:00
Vancouver,CA,9.56,7.07,7.35,11.66,broken clouds,1008,78,4.92,273,2025-03-30 15:00:00
Vancouver,CA,10.56,9.63,8.47,12.39,broken clouds,1007,75,4.12,300,2025-03-30 16:00:00
Vancouver,CA,11.54,10.68,10.41,13.54,overcast clouds,1006,74,2.24,317,2025-03-30 17:00:00
Vancouver,CA,11.41,10.59,9.01,14.43,broken clouds,1004,76,5.14,290,2025-03-30 18:00:00
Vancouver,CA,12.16,11.34,9.58,14.43,broken clouds,1003,73,6.17,300,2025-03-30 19:00:00
Vancouver,CA,12.65,11.8,11.24,14.43,overcast clouds,1002,70,3.13,317,2025-03-30 20:00:00
Vancouver,CA,13.16,12.31,10.68,14.86,overcast clouds,1001,68,4.02,239,2025-03-30 21:00:00
Victoria,CA,10.84,9.91,9.98,12.0,broken clouds,1018,74,2.57,230,2025-03-29 22:00:00
Victoria,CA,10.6,9.7,9.98,11.38,scattered clouds,1017,76,3.09,220,2025-03-29 23:00:00
Victoria,CA,9.39,7.2,8.16,10.16,scattered clouds,1017,81,4.12,220,2025-03-30 00:00:00
Victoria,CA,8.32,5.23,7.0,9.04,scattered clouds,1016,86,5.66,280,2025-03-30 01:00:00
Victoria,CA,7.47,4.59,5.89,8.31,overcast clouds,1016,89,4.63,260,2025-03-30 02:00:00
Victoria,CA,6.91,4.43,5.11,7.98,overcast clouds,1015,92,3.6,250,2025-03-30 03:00:00
Victoria,CA,7.03,5.68,5.68,7.76,overcast clouds,1015,92,2.06,290,2025-03-30 04:00:00
Victoria,CA,6.84,4.34,5.35,7.76,overcast clouds,1014,94,3.6,40,2025-03-30 05:00:00
Victoria,CA,6.56,4.32,5.11,7.2,overcast clouds,1014,93,3.09,30,2025-03-30 06:00:00
Victoria,CA,6.28,3.37,4.98,7.2,overcast clouds,1013,96,4.12,60,2025-03-30 07:00:00
Victoria,CA,6.15,3.21,5.68,6.98,overcast clouds,1012,94,4.12,60,2025-03-30 08:00:00
Victoria,CA,6.23,2.39,5.68,6.98,overcast clouds,1012,93,6.17,50,2025-03-30 09:00:00
Victoria,CA,6.29,2.61,5.11,7.2,overcast clouds,1011,94,5.81,331,2025-03-30 10:00:00
Victoria,CA,6.39,2.73,5.11,7.2,broken clouds,1010,93,5.81,337,2025-03-30 11:00:00
Victoria,CA,6.58,2.48,5.87,7.2,broken clouds,1010,92,7.2,50,2025-03-30 12:00:00
Victoria,CA,7.05,3.08,6.09,7.76,broken clouds,1009,91,7.2,40,2025-03-30 13:00:00
Victoria,CA,7.95,4.09,6.98,9.16,overcast clouds,1008,88,7.72,40,2025-03-30 14:00:00
Victoria,CA,8.74,4.71,7.98,9.77,overcast clouds,1008,83,9.26,40,2025-03-30 15:00:00
Victoria,CA,9.37,6.07,8.16,10.27,overcast clouds,1007,79,7.2,10,2025-03-30 16:00:00
Victoria,CA,10.64,9.69,9.75,12.16,overcast clouds,1006,74,6.17,10,2025-03-30 17:00:00
Victoria,CA,10.93,9.93,10.04,12.2,broken clouds,1005,71,5.66,20,2025-03-30 18:00:00
